fileName,row1_index,row2_index,differing_fields
353,0,36,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'comments', 'inspector_sig', 'blank', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
354,1,37,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'comments', 'inspector_sig', 'blank', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'bstrctn_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
355,2,38,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'comments', 'inspector_sig', 'blank', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'bstrctn_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
356,3,39,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'comments', 'inspector_sig', 'blank', 'gttr_flw_pf', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
357,4,40,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'inspector_sig', 'blank', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
358,5,41,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'comments', 'inspector_sig', 'blank', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'bstrctn_pf', 'slopex', 'slopex_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum6', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
359,6,42,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'comments', 'inspector_sig', 'blank', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
360,7,43,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'comments', 'inspector_sig', 'blank', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'slopey', 'slopey_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
361,8,44,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'comments', 'inspector_sig', 'blank', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
362,9,45,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'comments', 'inspector_sig', 'blank', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
363,10,46,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'inspector_sig', 'blank', 'runslope_1', 'runslope_1_pf', 'cross_slope1', 'crss_slp1_pf', 'dtctbl_wrnng', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
364,11,47,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'comments', 'inspector_sig', 'blank', 'gttr_flw_pf', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
365,12,48,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'comments', 'inspector_sig', 'blank', 'gttr_flw_pf', 'curb_slope_pf', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'bstrctn_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
366,13,49,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'comments', 'inspector_sig', 'blank', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'bstrctn_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
367,14,50,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'comments', 'inspector_sig', 'blank', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'bstrctn_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
368,15,51,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'crnr_pstn', 'ramp_position', 'comments', 'inspector_sig', 'blank', 'gttr_flw_pf', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'bstrctn_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
369,16,52,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'comments', 'inspector_sig', 'blank', 'gttr_flw_pf', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
370,17,53,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'inspector_sig', 'blank', 'gttr_flw_pf', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'bstrctn_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
371,18,54,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'comments', 'inspector_sig', 'blank', 'gttr_flw_pf', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'bstrctn_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
372,19,55,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'crnr_pstn', 'ramp_position', 'comments', 'inspector_sig', 'blank', 'gttr_flw_pf', 'curb_slope_pf', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
373,20,56,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'comments', 'inspector_sig', 'blank', 'gttr_flw_pf', 'curb_slope_pf', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'bstrctn_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
374,21,57,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'inspector_sig', 'blank', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'bstrctn_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
375,22,58,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'crnr_pstn', 'ramp_position', 'comments', 'inspector_sig', 'blank', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'bstrctn_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum7', 'tablenum8', 'tablenum9', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
376,23,59,"['Unnamed: 0.1', 'Unnamed: 0', 'sheet_num', 'intersection', 'inspector_sig', 'blank', 'gttr_flw_pf', 'dpt_wrnng_wdth', 'runslope_2', 'runslope_2_pf', 'Length2', 'cross_slope2', 'crss_slp2_pf', 'runslope_3', 'runslope_3_pf', 'Length3', 'cross_slope3', 'crss_slp3_pf', 'bstrctn_pf', 'warning2curb', 'wrnng_fllwdth', 'flare_slope1', 'flare_slope2', 'long_dist', 'globalid', 'image1', 'image2', 'image3', 'Photo 1', 'Photo 2', 'Photo 3', 'Length Y', 'ramp_landing', 'trnstn_typ', 'chng_drctn', 'end_barricade', 'height', 'width', 'depth', 'parkinglot', 'tablenum10', 'fail_count', 'intersection_name', 'file_link', 'failing_test', 'Zoning', 'section', 'ramp_pf', 'pf_expanded', 'Photo']"
